index,utterance_idx,utterance,video_id,sentiment
701,17.0,BUT WHEN THEY FIGURE OUT A NEW WAY TO INTERPRET THIS ,_dI--eQ6qVU,-0.25
501,3.0, MAYBE BECAUSE NUMBER FOUR WAS NOT MY ALL TIME FAVORITE BOOK ,73jzhE8R1TQ,-0.8
715,3.0,BUT THIS MOVIE KIND OF CAME OFF LIKE SOMEBODYS REALLY SAD TRAVEL VIDEO I DONT KNOW,zhpQhgha_KU,-1.6
1204,8.0,AND THE BEST THING ABOUT THAT IS THAT ALL TWO SONGS UM WELL NOT ALL OF THEM BUT SOME OF THE SONGS ARE NOT WELL WELL CONNECTED WITH THE SCENES,ZUXBRvtny7o,-1.4
776,29.0, I DIDNT REALLY FEEL UM THE INCLUSION OF HIS CHARATER WAS NECESSARY,8d-gEyoeBzc,-1.4
32,23.0,AND HOW JORDAN FLIES OFF TO THE GREEN LANTERN CORE PLANET OH AND THE MOVIE STARTS SEQUEL BAITING,Af8D0E4ZXaw,-1.0
1040,31.0, I WAS VERY IMPRESSED,7JsX8y1ysxY,2.2
1363,5.0,THE FIRST ONE MADE MORE SENSE,OQvJTdtJ2H4,-0.8
1281,17.0,JUST LIKE LOOK AWAY WHAT HE CAN DO HE CAN DO LOTS OF STUFF,c7UH_rxdZv4,-1.4
150,12.0,UM I JUST REALLY DIDNT HAVE GOOD TIME ,Nzq88NnDkEk,-2.0
792,15.0,AS FOR 3D I SAY YES,9J25DZhivz8,1.0
1086,17.0,THE ACTION IS REALLY COOL,2WGyTLYerpo,2.6
1459,2.0,UM I THOUGHT THIS IS THE PERFECT TIME TO HAVE A TRON SEQUEL,BioHAh1qJAQ,2.2
1444,26.0,DENNIS QUAID I THINK HAD A LOT OF FUN ,wMbj6ajWbic,1.8
581,2.0,BUT OVERALL UM GO SEE IT,Dg_0XKD0Mf4,0.8
1433,15.0, I DID LIKE TRANSFORMERS 2 EVEN THOUGH A LOT OF PEOPLE DIDNT LIKE THAT,wMbj6ajWbic,2.0
